product_name_flip,retail_price_flip,discounted_price_flip,product_name_ama,retail_price_ama,discounted_price_ama
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,BULAKY VANITY CASE JEWELLERY VANITY CASE,488.0,490.0
FDT Women's Leggings,699.0,309.0,FDT WOMEN'S Leggings Pants,698.0,362.0
Madcaps C38GR30 Men's Cargos,2199.0,1699.0,MADCAPS C38GR30 MEN'S CARGOS,2183.0,2100.0
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783.0,710.0
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994.0,854.0
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483.0,347.0
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487.0,330.0
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993.0,1019.0
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183.0,822.0
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347.0,343.0
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886.0,1167.0
Angelfish Silk Potali Potli,999.0,399.0,ANGELFISH SILK POTALI POTLI,983.0,482.0
Oye Boy's Dungaree,899.0,764.0,OYE BOY'S DUNGAREE,893.0,985.0
Nuride Canvas Shoes,1999.0,1349.0,NURIDE CANVAS SHOES,1990.0,1625.0
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480.0,1786.0
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990.0,2313.0
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,RAPTER BNC-179 BNC WIRE CONNECTOR,2279.0,1582.0
Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987.0,562.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892.0,556.0
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089.0,1161.0
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482.0,6153.0
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972.0,6022.0
MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396.0,686.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887.0,544.0
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,RAPTER BNC-047 BNC WIRE CONNECTOR,1288.0,1023.0
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979.0,5877.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888.0,554.0
Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984.0,7854.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879.0,512.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879.0,534.0
MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382.0,711.0
MASARA Solid Women's Straight Kurta,1399.0,550.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382.0,694.0
Roadster Men's Zipper Solid Cardigan,1399.0,699.0,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380.0,887.0
Vishudh Printed Women's Straight Kurta,999.0,499.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995.0,638.0
Noor Embroidered Women's Straight Kurta,1649.0,849.0,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639.0,1041.0
MASARA Solid Women's Straight Kurta,1399.0,599.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388.0,660.0
Vishudh Printed Women's Straight Kurta,899.0,449.0,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888.0,562.0
Libas Printed Women's A-line Kurta,899.0,449.0,LIBAS PRINTED WOMEN'S A-LINE KURTA,887.0,570.0
Libas Printed Women's Anarkali Kurta,1849.0,924.0,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831.0,1142.0
MASARA Solid Women's Straight Kurta,999.0,499.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,981.0,647.0
HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS ULTIMATE BOY CHEST PADS,427.0,491.0
Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488.0,918.0
HRS CLUB BOY Thigh Pads,280.0,250.0,HRS CLUB BOY THIGH PADS,273.0,298.0
Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794.0,868.0
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898.0,1145.0
Liza Women Wedges,1990.0,1393.0,LIZA WOMEN WEDGES,1986.0,1707.0
HRS ULTIMATE BOY Elbow Pads,250.0,230.0,HRS ULTIMATE BOY ELBOW PADS,236.0,279.0
Sathiyas Cotton Bath Towel,600.0,449.0,SATHIYAS COTTON BATH TOWEL,582.0,568.0
HRS ULTIMATE MEN Chest Pads,440.0,395.0,HRS ULTIMATE MEN CHEST PADS,435.0,474.0
Eurospa Cotton Terry Face Towel Set,1424.6777546777546,0.0,Eurospa Cotton Terry Face Towel Set,-15.0,0.0
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695.0,1570.0
CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989.0,472.0
Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,Mario Gotze Women's Printed Casual Orange Shirt,1486.0,1162.0
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2595.0,864.0
Shilpi NHSCN003 Coin Bank,900.0,650.0,Shilpi NHSCN003 Coin Bank,880.0,787.0
Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2589.0,806.0
Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,Babeezworld Dungaree Baby Boy's  Combo,997.0,565.0
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590.0,1487.0
"Proence Weight Gainers, Mass Gainers",1025.0,949.0,"Proence Weight Gainers, Mass Gainers",1010.0,1107.0
Discountgod Men's Checkered Casual Shirt,750.0,590.0,Discountgod Men's Checkered Casual Shirt,732.0,662.0
Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,Silver Streak Men's Printed Casual Denim Shirt,1298.0,713.0
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18981.0,16829.0
TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,TEN TEN Women's Black Knee Length Boots Boots,4986.0,2581.0
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13682.0,16407.0
Carlton Boots,3495.0,1223.0,Carlton Boots,3484.0,1379.0
Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,Maserati Time R8851116001 Analog Watch  - For Boys,24393.0,30971.0
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087.0,769.0
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088.0,561.0
Reckler Slim Fit Men's Jeans,5398.0,2599.0,Reckler Slim Fit Men's Jeans,5383.0,3179.0
Quechua Arpenaz Novadry Boots,2499.0,2250.0,Quechua Arpenaz Novadry Boots,2481.0,2748.0
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3990.0,983.0
Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,1791.0,844.0
Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,Rochees RW38 Analog Watch  - For Boys,1414.0,1357.0
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084.0,468.0
Catwalk Boots,2095.0,999.0,Catwalk Boots,2086.0,1283.0
Magnum Footwear Lifestyle,3999.0,2099.0,Magnum Footwear Lifestyle,3982.0,2586.0
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990.0,469.0
Rialto Boots,3295.0,2795.0,Rialto Boots,3275.0,3331.0
Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2481.0,1583.0
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476.0,5916.0
La Briza Ashley Boots,2299.0,2299.0,La Briza Ashley Boots,2296.0,2840.0
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737.0,137323.0
Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,Salt N Pepper 13-019 Femme Black Boots Boots,4176.0,3857.0
Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1497.0,1651.0
Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,Wrangler Skanders Fit Men's Jeans,2785.0,2254.0
Steppings Trendy Boots,3199.0,1919.0,Steppings Trendy Boots,3191.0,2295.0
Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,Salt N Pepper 14-664 Denny Black Boots Boots,4283.0,3869.0
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189.0,513.0
Crocs Boots,3995.0,3995.0,Crocs Boots,3977.0,4845.0
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223.0,726879.0
Lyc White Casual Boots,1199.0,899.0,Lyc White Casual Boots,1195.0,1025.0
Myra Comfortable Boots,1049.0,499.0,Myra Comfortable Boots,1038.0,573.0
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991.0,896.0
Get Glamr Designer Uggy Boots,3499.0,2799.0,Get Glamr Designer Uggy Boots,3487.0,3180.0
Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2295.0,1019.0
Kielz Ladies Boots,1999.0,999.0,Kielz Ladies Boots,1996.0,1187.0
Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,Rochees RW50 Analog Watch  - For Boys,1110.0,1225.0
Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2780.0,1529.0
Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,Salt N Pepper 13-516 Greta Red Boots,3475.0,3380.0
Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682.0,1026.0
Steppings Trendy Boots,1599.0,639.0,Steppings Trendy Boots,1587.0,825.0
Rialto Boots,3295.0,2395.0,Rialto Boots,3292.0,2738.0
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085.0,472.0
Wrangler Regular Fit Men's Jeans,3295.0,1812.0,Wrangler Regular Fit Men's Jeans,3279.0,2305.0
Steppings Trendy Boots,3499.0,2274.0,Steppings Trendy Boots,3492.0,2874.0
"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,"Disney DW100230 Digital Watch  - For Boys, Girls",342.0,386.0
Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,Salt N Pepper 13-167 Marsha Red Boots,3692.0,3441.0
"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,"Cartier W6701005 Analog Watch  - For Boys, Men",200990.0,246928.0
Bruno Manetti Cannelita Boots,3399.0,1359.0,Bruno Manetti Cannelita Boots,3394.0,1564.0
Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,Stylistry Maxis Shde6603brwoboot3104 Boots,2185.0,1785.0
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181.0,444.0
"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,"Felix Y 39 Analog Watch  - For Boys, Men",1536.0,602.0
Kielz Boots,2999.0,2399.0,Kielz Boots,2987.0,2706.0
Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2295.0,1116.0
Sakay Country Leather Boots,3999.0,3499.0,Sakay Country Leather Boots,3980.0,3877.0
La Briza Black Boots,2299.0,2069.0,La Briza Black Boots,2282.0,2385.0
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362.0,324.0
"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180.0,1229.0
Steppings Trendy Boots,2199.0,1099.0,Steppings Trendy Boots,2198.0,1415.0
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466.0,368.0
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083.0,739.0
Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381.0,178.0
La Briza Mile Boots,3999.0,3999.0,La Briza Mile Boots,3998.0,4701.0
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3979.0,1064.0
Sneha Unique Boots,1799.0,899.0,Sneha Unique Boots,1794.0,1026.0
Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,Timer TC_-_690143 Analog Watch  - For Boys,1287.0,707.0
NE Regular Fit Men's Jeans,4999.0,1899.0,NE Regular Fit Men's Jeans,4988.0,2180.0
Shuz Touch Boots,2995.0,2995.0,Shuz Touch Boots,2989.0,3434.0
Kielz Ladies Boots,2499.0,1149.0,Kielz Ladies Boots,2492.0,1393.0
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4991.0,1287.0
Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2287.0,1067.0
Belle Gambe Boots,3999.0,1695.0,Belle Gambe Boots,3988.0,2169.0
"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,"Titan 1639SL03 Analog Watch  - For Boys, Men",1783.0,2169.0
Selfie Boots,1200.0,599.0,Selfie Boots,1191.0,773.0
Clincher Semonday Boots,3499.0,3499.0,Clincher Semonday Boots,3497.0,4157.0
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790.0,233.0
Kielz Ladies Boots,2499.0,1149.0,Kielz Ladies Boots,2485.0,1446.0
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573.0,620.0
Belle Gambe Boots,3499.0,1765.0,Belle Gambe Boots,3495.0,2123.0
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919.0,2269.0
Roxy Boots,19995.0,9997.0,Roxy Boots,19979.0,12156.0
Lee Men's Jeans,2699.0,1619.0,Lee Men's Jeans,2681.0,2089.0
Bruno Manetti 676 Boots,2999.0,1199.0,Bruno Manetti 676 Boots,2979.0,1482.0
"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,"Estilo 1056 Analog Watch  - For Boys, Men",1295.0,371.0
Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,Jack klein BlackLed Digital Watch  - For Boys,994.0,187.0
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220.0,176.0
Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1484.0,1448.0
Foot Candy Boots,2899.0,1699.0,Foot Candy Boots,2887.0,2095.0
Credos Boots,4499.0,3499.0,Credos Boots,4496.0,4097.0
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996.0,164.0
"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489.0,2146.0
Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2792.0,1535.0
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378.0,392.0
Anand Archies Boots,499.0,499.0,Anand Archies Boots,492.0,575.0
Magnum Footwear Lifestyle Boots,2999.0,1899.0,Magnum Footwear Lifestyle Boots,2992.0,2185.0
Steppings Trendy Boots,2199.0,1099.0,Steppings Trendy Boots,2185.0,1390.0
Swag 670038 Analog Watch  - For Boys,2499.0,899.0,Swag 670038 Analog Watch  - For Boys,2480.0,1126.0
Bonzer Boots,999.0,499.0,Bonzer Boots,987.0,582.0
Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,Roadster Skinny Fit Fit Men's Jeans,2495.0,1414.0
Selfie Black Denim Boots,1000.0,499.0,Selfie Black Denim Boots,990.0,638.0
Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3193.0,2835.0
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626.0,822.0
Belle Gambe Winter Boots,3499.0,1695.0,Belle Gambe Winter Boots,3498.0,1943.0
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398.0,180.0
Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2485.0,1518.0
Kielz Boots,2499.0,1999.0,Kielz Boots,2496.0,2566.0
"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295.0,931.0
Carlton London Boots,2295.0,2295.0,Carlton London Boots,2279.0,2871.0
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331.0,298.0
Shuz Touch Boots,4495.0,4495.0,Shuz Touch Boots,4485.0,5839.0
La Briza Andria Boots,2099.0,2099.0,La Briza Andria Boots,2085.0,2641.0
"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343.0,1456.0
Kielz Ladies Boots,1899.0,999.0,Kielz Ladies Boots,1883.0,1236.0
Carlton London Boots,1995.0,1995.0,Carlton London Boots,1988.0,2334.0
"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784.0,1327.0
Urban Country Ladies Boots,3299.0,1650.0,Urban Country Ladies Boots,3296.0,2015.0
Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0,Now SP-ETHNIC Analog Watch  - For Boys,586.0,767.0
"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344.0,1597.0
Get Glamr Designer Yuvu Boots,3499.0,2799.0,Get Glamr Designer Yuvu Boots,3483.0,3565.0
Kielz Boots,2499.0,2399.0,Kielz Boots,2481.0,3094.0
Belle Gambe Boots,3999.0,1765.0,Belle Gambe Boots,3985.0,1979.0
Remson India Boots,3999.0,1999.0,Remson India Boots,3993.0,2458.0
Steppings Trendy Boots,1599.0,639.0,Steppings Trendy Boots,1592.0,734.0
Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0,Jacques Farel KWD2324 Analog Watch  - For Boys,2838.0,1748.0
Rialto Boots,2795.0,1800.0,Rialto Boots,2786.0,2165.0
Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,Salt N Pepper 13-455 Pisa Black Boots,4993.0,4661.0
"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988.0,354.0
Klaur Melbourne Boots,3499.0,1574.0,Klaur Melbourne Boots,3480.0,1868.0
"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0,"Positif Pfbk612 Analog Watch  - For Men, Boys",1086.0,978.0
Selfie Boots,1200.0,599.0,Selfie Boots,1183.0,751.0
"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8975.0,10759.0
Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0,Salt N Pepper 13-019 Femme Taupe Boots Boots,4181.0,2524.0
"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,"Franck Bella FB127A Analog Watch  - For Boys, Men",1232.0,1292.0
Get Glamr Stylish Boots,1999.0,499.0,Get Glamr Stylish Boots,1992.0,596.0
